Area,Total_Restaurants,Avg_Dinner_Rating,Avg_Cost,Delivery_Available,Veg_Only
Electronic City,673,3.6,277.64,670,23
Marathahalli,484,3.55,300.83,483,30
HSR,457,3.73,312.58,456,33
Whitefield,447,3.66,337.02,447,30
BTM,397,3.64,257.81,396,22
Indiranagar,292,3.87,479.97,292,33
JP Nagar,292,3.74,355.31,291,24
Sarjapur Road,284,3.68,330.11,283,21
Rajajinagar,237,3.61,301.27,237,20
New BEL Road,231,3.68,334.63,230,13
Banashankari,216,3.54,259.72,216,20
Jayanagar,214,3.67,372.66,214,18
Kalyan Nagar,209,3.73,395.22,209,16
Bellandur,199,3.56,296.98,199,14
Bannerghatta Road,194,3.52,312.16,194,11
Brookefield,181,3.68,320.99,181,7
Kammanahalli,157,3.61,314.33,156,8
Bommanahalli,154,3.47,274.68,154,3
Malleshwaram,128,3.7,310.94,128,35
Basavanagudi,127,3.5,276.38,127,25
Vijay Nagar,123,3.56,285.37,123,7
Yeshwantpur,121,3.45,281.82,120,8
Koramangala 5th Block,119,3.93,424.79,119,9
Banaswadi,107,3.43,305.14,107,9
Frazer Town,105,3.67,352.38,104,6
KR Puram,105,3.33,247.14,105,7
RT Nagar,96,3.51,247.08,96,9
Basaveshwara Nagar,87,3.56,297.7,87,3
Nagawara,87,3.31,274.71,86,7
Koramangala 1st Block,84,3.83,322.62,83,6
Bommasandra,78,3.43,346.15,78,6
Koramangala 7th Block,78,3.92,392.95,77,5
Jalahalli,73,3.46,270.55,73,4
Sanjay Nagar,71,3.48,279.58,71,6
Koramangala 6th Block,69,3.94,373.19,69,3
Hennur,68,3.61,352.94,67,4
ITPL Main Road,67,3.41,308.96,67,2
Varthur Main Road,64,3.72,313.28,64,5
Sahakara Nagar,63,3.77,373.81,63,1
Rammurthy Nagar,60,3.54,335.83,60,3
Kaggadasapura,59,3.52,253.39,59,7
Kumaraswamy Layout,59,3.52,249.15,59,3
Hebbal,58,3.36,285.34,58,5
HBR Layout,58,3.58,269.83,58,1
Old Airport Road,56,3.53,306.25,56,3
Jeevan Bhima Nagar,55,3.51,308.18,54,5
Brigade Road,53,3.59,356.6,53,3
Rajarajeshwari Nagar,52,3.67,413.46,52,3
Vasanth Nagar,49,3.63,303.06,49,2
Thippasandra,47,3.6,278.72,46,2
Domlur,45,3.62,318.89,45,3
Nagarbhavi,43,3.56,315.12,43,1
Majestic,42,3.54,364.29,42,8
Ulsoor,40,3.66,327.5,40,4
Koramangala 4th Block,38,3.88,455.26,38,0
Shivajinagar,38,3.29,268.42,38,3
Seshadripuram,36,3.63,386.11,36,7
