Name,Cuisines,Area,Timing,Full_Address,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost,Cuisine_Count,Rating_Category,Price_Category
Sri Udupi Park,"South Indian, North Indian, Chinese, Street Food, Biryani, Ice Cream, Beverages, Shake",Indiranagar,7am - 11pm,"273, Monalisa, 6th Main, 100 Feet Road, Indiranagar, Defence Colony, Indiranagar, Bangalore",1,1,1,1,4.0,462,4.1,16000,Not Available,"Filtered Coffee, Sambhar, Pav Bhaji, Gobi Manchurian","Economical, Prompt Service, Hygiene, Quality Food, Reasonable Price, Quick Service",450,8,Very Good,Moderate
Meghana Foods,"Biryani, Andhra, North Indian, Seafood",Indiranagar,Opens at 6:30pm,"544, First Floor, CMH Road, Near Indiranagar Metro Station, Indiranagar, Bangalore",1,1,1,0,4.3,1654,4.3,28600,Spicy Chicken Biryani,"Authentic Hyderabadi Biryani, Paneer Biryani, Panner Tikka, Chicken 65, Lemon Chicken, Mutton Biriyani","Boneless Chicken Biryani, Ample Seating Area, Serving Size, Family Place, Relaxed Atmosphere, Delivery Person",700,4,Very Good,Premium
Donne Biriyani House,Biryani,Indiranagar,11am - 11pm,"8/ 9, 17th F Cross, 2nd Stage, Indiranagar, Bangalore",1,1,1,0,3.9,411,3.5,33200,Not Available,Not Available,"Great Recommendations, Nice Taste, Great Ambiance, Good Quantity, Excellent Food, Nice Food",300,1,Good,Moderate
Domino's Pizza,"Pizza, Fast Food, Desserts",Indiranagar,10:57am - 12midnight,"308, 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",1,1,1,0,2.4,422,4.4,8205,Not Available,"Barbeque Chicken Pizza, Choco Lava Cake, White Sauce Pasta, Pizzas","Value for Money, Packaging, Staff, Ambience, Food",400,3,Below Average,Moderate
KFC,"Burger, Fast Food, Biryani, Desserts, Beverages",Indiranagar,11am - 11pm,"38/1A, CMH Road, Indiranagar, Bangalore",1,1,1,0,2.8,673,4.0,9148,Not Available,"Fiery Chicken, Chicken Popcorn, Rice Bowl, Wings","Elegantly Decorated, Great Recommendations, View, Location, Good Taste, Worth the Money",400,5,Below Average,Moderate
The Congee Concept,South Indian,Ulsoor,,"26, Vemee Sadhana, 1st Main, Ulsoor, Bangalore",1,0,0,0,,0,4.5,239,Not Available,Not Available,"Fresh Food with Good Quality, Worth the Money, Great Portions, Timely Service, Delicious Food",100,1,No Rating,Budget
Burger King,"Burger, Fast Food, Beverages, Desserts",Indiranagar,9am - 2am,"545, Next to CMH Metro Station, CMH Road, Indiranagar, Bangalore",1,1,1,0,4.1,1499,4.1,22400,"High-quality, great-tasting and affordable Burgers.","Crispy Spicy Chicken, Chilly Burger, Thick Mango Shake, Strawberry Sundae, Mutton Patty, Whooper Burger","Bang for the Buck, Cozy Ambiance, Nice Crowd, Low Price, Comfortable Seating, Good Atmosphere",400,4,Very Good,Moderate
McDonald's,"Burger, Beverages, Fast Food, Desserts",Indiranagar,9:30am - 1:30am,"539, Ground Floor, Ashwini Complex, Opposite Vijaya Bank, CMH Road, Indiranagar, Bangalore",1,1,1,0,3.8,500,4.1,7508,Their reasonably priced combos,"Mcspicy Chicken, Mcspicy Paneer, Maharaja Mac, Peri Peri Fries, Burgers, Coffee","Casual Seating Area, Hygiene, Location, Friendly Staff, Spicy, Good Place",400,4,Good,Moderate
Mani's Dum Biryani,"Biryani, Kebab",Jeevan Bhima Nagar,11am - 11:45pm,"474, Ground Floor, 10th Main, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",1,1,1,0,4.2,708,4.1,12700,It's flavourful Mutton Biryani.,"Paneer Fry, Chicken 65, Egg Biryani, Mutton Biryani, Starter","Serving Size, Family Place, Decent Ambience, Good Quantity, Decent Place, Portion",800,2,Very Good,Premium
Madras Meal Company,South Indian,Thippasandra,,"Jeevan Bhima Nagar Main Road, Ward 74, Shetty Palaza, Puttappa Layout, Thippasandra, Bangalore",1,0,0,0,,0,4.0,2958,Not Available,"Tamilnadu Style, South Indian Meals, Gulab Jamun, Raita, Kabab, Chicken Biryani","Good Packaging, Excellent Food, Spill Proof Packaging, Good Taste, Reasonable Price, Packing",150,1,No Rating,Budget
